date|aircraft|origin|destination|time|lat|long|heading|direction|kts|mph|altitude|delta|reporting
2016-12-02|N488PG|KCVX|Y73|02:04:53|45.3049|-85.2753|0|West|0|0|669|0| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:05:17|45.3222|-85.3833|289|West|151|174|5100| Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:06:19|45.3347|-85.4364|289|West|149|171|7600|2352 Climbing| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:07:22|45.3469|-85.4839|290|West|141|162|10000|2112 Climbing| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:08:24|45.3586|-85.5358|288|West|138|159|12000|2081 Climbing| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:09:26|45.3764|-85.6053|290|West|144|166|14300|1935 Climbing| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:10:28|45.3908|-85.6644|289|West|153|176|16000|871 Climbing| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:11:30|45.4089|-85.7372|290|West|177|204|16100|48 Climbing| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:12:32|45.4292|-85.8208|289|West|215|247|16100| Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:13:34|45.4503|-85.9064|289|West|225|259|16100|-48 Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:14:36|45.4744|-86.0078|289|West|229|264|16000|-48 Descending| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:15:38|45.4956|-86.0917|290|West|229|264|16000| Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:16:40|45.5161|-86.1750|289|West|228|262|16000| Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:17:42|45.5369|-86.2625|289|West|230|265|16000| Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:18:44|45.5575|-86.3475|289|West|230|265|16000| Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:19:46|45.5789|-86.4350|289|West|230|265|16000|-48 Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:20:48|45.6036|-86.5400|289|West|231|266|15900| Descending| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:21:50|45.6242|-86.6289|288|West|234|269|16000|48 Climbing| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:22:52|45.6456|-86.7172|289|West|235|270|16000| Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:23:54|45.6664|-86.8056|289|West|235|270|16000| Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:24:56|45.6864|-86.8936|288|West|234|269|16000| Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:25:58|45.7108|-86.9981|289|West|233|268|16000| Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:27:00|45.7328|-87.0906|289|West|233|268|16000| Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:28:02|45.7544|-87.1806|289|West|234|269|16000| Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:29:04|45.7744|-87.2717|288|West|234|269|16000| Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:30:06|45.7958|-87.3625|289|West|235|270|16000| Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:31:08|45.8167|-87.4533|288|West|235|270|16000| Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:32:10|45.8389|-87.5522|288|West|236|272|16000|-242 Level| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:33:12|45.8600|-87.6447|288|West|237|273|15500|-871 Descending| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:34:14|45.8808|-87.7350|288|West|237|273|14200|-1210 Descending| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:35:16|45.8997|-87.8208|288|West|223|257|13000|-1161 Descending| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:36:18|45.9197|-87.9078|288|West|223|257|11800|-1113 Descending| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:37:20|45.9378|-87.9897|288|West|217|250|10700|-1113 Descending| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:38:22|45.9564|-88.0722|288|West|215|247|9500|-1161 Descending| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:39:24|45.9750|-88.1608|287|West|214|246|8300|-1113 Descending| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:40:26|45.9917|-88.2369|288|West|214|246|7200|-1065 Descending| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:41:28|46.0103|-88.3186|288|West|214|246|6100|-1113 Descending| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:42:30|46.0283|-88.3994|288|West|214|246|4900|-1210 Descending| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:43:32|46.0500|-88.4972|288|West|214|246|3600|-1258 Descending| Minneapolis Center
2016-12-02|N488PG|KCVX|Y73|02:44:58|46.0757|-88.6163|285|West|||| Level| FlightAware Approximate
2016-12-02|N488PG|KCVX|Y73|02:45:00|0|0|0|CST||||| TFMS Center
2016-12-04|AAL1409|KORD|KMSP|01:53:00|41.9833|-87.8833|56|Northeast|0|0|0| Level| Chicago TRACON
2016-12-04|AAL1409|KORD|KMSP|01:54:01|41.9833|-87.8833|56|Northeast|168|193|1900| Level| Chicago TRACON
2016-12-04|AAL1409|KORD|KMSP|01:54:32|42.0000|-87.8500|56|Northeast|202|232|2900|1967 Climbing| Chicago TRACON
