aircraft|origin|destination|date|time|lat|long|heading|direction|kts|mph|altitude|delta|reporting
UAL1451|KLAX|KORD|2016-12-22|23:55:00|33.9480|-118.3901|0|North|0|0|0|0|ETMS Enhanced Traffic Management System
UAL1451|KLAX|KORD|2016-12-22|23:55:43|33.9520|-118.3824|84|East|179|206|1300| Level| FlightAware ADS-B (KTOA)
UAL1451|KLAX|KORD|2016-12-22|23:56:02|33.9544|-118.3629|76|East|198|228|1800|1660 Climbing| FlightAware ADS-B (KSLI)
UAL1451|KLAX|KORD|2016-12-22|23:56:30|33.9653|-118.3318|63|Northeast|227|261|2600|2093 Climbing| FlightAware ADS-B (KSMO)
UAL1451|KLAX|KORD|2016-12-22|23:56:45|33.9723|-118.3141|66|East|232|267|3300|3200 Climbing| FlightAware ADS-B (KSMO)
UAL1451|KLAX|KORD|2016-12-22|23:57:00|33.9788|-118.2968|66|East|231|266|4200|2800 Climbing| FlightAware ADS-B (KVNY)
UAL1451|KLAX|KORD|2016-12-22|23:57:15|33.9853|-118.2783|67|East|243|280|4700|2200 Climbing| FlightAware ADS-B (KPOC)
UAL1451|KLAX|KORD|2016-12-22|23:57:30|33.9924|-118.2588|65|Northeast|253|291|5300|2286 Climbing| FlightAware ADS-B (KMYF)
UAL1451|KLAX|KORD|2016-12-22|23:57:57|34.0115|-118.2270|52|Northeast|272|313|6300|2429 Climbing| FlightAware ADS-B (KBUR)
UAL1451|KLAX|KORD|2016-12-22|23:58:12|34.0232|-118.2092|51|Northeast|275|316|7000|2400 Climbing| FlightAware ADS-B (KSNA)
UAL1451|KLAX|KORD|2016-12-22|23:58:27|34.0355|-118.1919|49|Northeast|284|327|7500|2200 Climbing| FlightAware ADS-B (KSNA)
UAL1451|KLAX|KORD|2016-12-22|23:58:42|34.0491|-118.1740|47|Northeast|291|335|8100|2600 Climbing| FlightAware ADS-B (KSNA)
UAL1451|KLAX|KORD|2016-12-22|23:58:57|34.0631|-118.1544|50|Northeast|296|341|8800|2600 Climbing| FlightAware ADS-B (KFUL)
UAL1451|KLAX|KORD|2016-12-22|23:59:12|34.0755|-118.1358|51|Northeast|299|344|9400|2087 Climbing| FlightAware ADS-B (KWHP)
UAL1451|KLAX|KORD|2016-12-23|00:00:06|34.1280|-118.0669|29|Northeast|334|384|11200|1650 Climbing| FlightAware ADS-B (KSNA)
UAL1451|KLAX|KORD|2016-12-23|00:00:32|34.1675|-118.0533|8|North|359|413|11600|2379 Climbing| FlightAware ADS-B (KWHP)
UAL1451|KLAX|KORD|2016-12-23|00:01:04|34.2206|-118.0503|9|North|347|399|13500|3061 Climbing| FlightAware ADS-B (KSNA)
UAL1451|KLAX|KORD|2016-12-23|00:01:21|34.2448|-118.0381|34|Northeast|356|410|14100|1895 Climbing| FlightAware ADS-B (KBUR)
UAL1451|KLAX|KORD|2016-12-23|00:01:42|34.2666|-118.0102|56|Northeast|360|414|14700|1737 Climbing| FlightAware ADS-B (KWHP)
UAL1451|KLAX|KORD|2016-12-23|00:03:15|34.3461|-117.8479|58|Northeast|343|395|17400|1783 Climbing| FlightAware ADS-B (KHJO)
UAL1451|KLAX|KORD|2016-12-23|00:04:00|34.4063|-117.7567|51|Northeast|417|480|18800|1737 Climbing| FlightAware ADS-B (KEMT)
UAL1451|KLAX|KORD|2016-12-23|00:04:31|34.4448|-117.6994|51|Northeast|428|493|19600|1630 Climbing| FlightAware ADS-B (KCMA)
UAL1451|KLAX|KORD|2016-12-23|00:05:32|34.5220|-117.5833|51|Northeast|442|509|21300|1756 Climbing| FlightAware ADS-B (KNKX)
UAL1451|KLAX|KORD|2016-12-23|00:06:34|34.6024|-117.4625|51|Northeast|448|516|23200|1579 Climbing| FlightAware ADS-B (KSLI)
UAL1451|KLAX|KORD|2016-12-23|00:08:04|34.7217|-117.2817|51|Northeast|466|536|25300|1443 Climbing| FlightAware ADS-B (KMYF)
UAL1451|KLAX|KORD|2016-12-23|00:10:06|34.8846|-117.0343|52|Northeast|472|543|28300|1213 Climbing| FlightAware ADS-B (KSNA)
UAL1451|KLAX|KORD|2016-12-23|00:11:07|34.9614|-116.9175|52|Northeast|478|550|29000|226 Climbing| Salt Lake Center
UAL1451|KLAX|KORD|2016-12-23|00:13:12|35.1422|-116.6386|52|Northeast|473|544|29000| Level| FlightAware ADS-B (KFUL)
UAL1451|KLAX|KORD|2016-12-23|00:15:17|35.3097|-116.3786|52|Northeast|478|550|29000| Level| FlightAware ADS-B (KLAS)
UAL1451|KLAX|KORD|2016-12-23|00:17:47|35.5180|-116.0535|52|Northeast|478|550|29000| Level| FlightAware ADS-B (KLAS)
